City,Lat,Long,Max Temp (C),Humidity,Cloudiness,Windspeed,Country Code,Date
Severo-Kuril'sk,50.68,156.12,6.44,83,100,11.1,RU,1604350497
Meulaboh,4.14,96.13,25.07,83,100,2.28,ID,1604350497
Vaini,-21.2,-175.2,25.0,88,75,5.1,TO,1604350498
Temascalcingo,19.92,-100.0,24.44,33,3,2.24,MX,1604350498
Cuamba,-14.8,36.54,24.25,62,18,1.22,MZ,1604350498
Castro,-42.47,-73.77,16.11,71,75,1.5,CL,1604350498
Port Alfred,-33.59,26.89,19.37,81,40,9.26,ZA,1604350498
Murmansk Oblast,68.0,34.0,-1.43,97,100,5.95,RU,1604350499
Christchurch,-43.53,172.63,12.22,81,100,7.2,NZ,1604350333
Port Blair,11.67,92.75,26.69,81,100,2.28,IN,1604350499
Albany,-35.02,117.89,13.0,100,75,4.6,AU,1604350499
Bredasdorp,-34.53,20.04,19.0,82,37,6.7,ZA,1604350500
Puerto Ayora,-0.74,-90.35,27.0,61,75,7.2,EC,1604350500
Matamoros,25.53,-103.25,24.0,29,5,4.46,MX,1604350328
Pūrna,19.18,77.05,19.99,56,0,1.67,IN,1604350500
Hobart,-42.88,147.33,18.89,63,75,5.1,AU,1604350346
Nova Olímpia,-14.8,-57.29,31.79,40,6,0.91,BR,1604350501
Bilibino,68.05,166.44,-20.81,89,92,1.43,RU,1604350501
Vadsø,70.07,29.75,3.0,86,75,11.8,NO,1604350502
New Norfolk,-42.78,147.06,18.89,36,99,1.34,AU,1604350502
Busselton,-33.65,115.33,13.33,85,74,4.71,AU,1604350502
Atuona,-9.8,-139.03,25.29,76,22,8.99,PF,1604350503
Korla,41.76,86.15,2.48,72,1,0.62,CN,1604350503
Panguna,-6.32,155.48,24.06,87,25,0.46,PG,1604350503
Khatanga,71.97,102.5,-11.28,96,100,3.73,RU,1604350503
Tessalit,20.2,1.01,23.61,19,100,4.14,ML,1604350504
Madona,56.85,26.22,6.68,85,100,4.97,LV,1604350504
Coquimbo,-29.95,-71.34,15.0,72,75,5.1,CL,1604350504
Chui,-33.7,-53.46,17.08,71,32,3.93,UY,1604350266
Vardø,70.37,31.11,3.0,93,75,12.3,NO,1604350505
Lüderitz,-26.65,15.16,16.47,85,98,3.39,NA,1604350505
Prome,18.82,95.22,23.32,91,20,0.36,MM,1604350505
Coari,-4.08,-63.14,31.72,56,30,0.77,BR,1604350505
Avarua,-21.21,-159.78,22.0,88,100,2.6,CK,1604350395
